frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate,plate_confidence,direction
39,car,0.4,,1218,319,1249,342,,0.4,right
39,car,0.39,,996,305,1066,339,,0.39,right
39,car,0.38,,1427,323,1508,379,,0.38,right
39,car,0.38,,1390,323,1451,371,,0.38,right
39,car,0.38,,1460,323,1513,381,,0.38,right
39,car,0.31,,1425,324,1475,378,,0.31,right
39,car,0.29,,1195,314,1237,346,,0.29,right
40,car,0.9,,1,294,337,1017,,0.9,left
40,person,0.8,,413,286,471,435,,0.8,left
40,person,0.79,,508,266,559,437,,0.79,left
40,car,0.79,,1042,309,1165,396,,0.79,right
40,car,0.68,,1306,326,1370,366,,0.68,right
40,car,0.52,,1151,306,1204,352,,0.52,right
40,car,0.49,,1383,325,1437,363,,0.49,right
40,car,0.44,,1367,325,1400,361,,0.44,right
40,car,0.41,,1220,319,1249,342,,0.41,right
40,car,0.39,,1462,323,1513,382,,0.39,right
40,car,0.39,,1389,323,1450,370,,0.39,right
40,car,0.39,,996,305,1063,339,,0.39,right
40,car,0.38,,1427,323,1507,379,,0.38,right
40,car,0.35,,1303,325,1346,361,,0.35,right
40,car,0.32,,1193,313,1240,345,,0.32,right
40,car,0.32,,1424,324,1474,378,,0.32,right
41,car,0.88,,0,396,218,1007,,0.88,left
41,car,0.82,,1037,308,1163,399,,0.82,right
41,person,0.78,,418,288,473,434,,0.78,left
41,person,0.77,,507,263,562,437,,0.77,left
41,car,0.71,,1305,326,1370,365,,0.71,right
41,car,0.57,,1149,307,1200,351,,0.57,right
41,car,0.47,,1385,325,1436,363,,0.47,right
41,car,0.4,,1222,319,1249,341,,0.4,right
41,car,0.4,,1367,324,1400,361,,0.4,right
41,car,0.39,,1390,323,1450,370,,0.39,right
41,car,0.39,,1428,323,1508,379,,0.39,right
41,car,0.38,,1461,323,1513,381,,0.38,right
41,car,0.36,,996,305,1061,339,,0.36,right
41,car,0.33,,1193,312,1244,345,,0.33,right
41,car,0.32,,1424,324,1474,378,,0.32,right
42,car,0.83,,1032,307,1161,401,,0.83,right
42,person,0.79,,507,264,566,438,,0.79,left
42,person,0.75,,420,287,474,433,,0.75,left
42,car,0.67,,1305,327,1368,364,,0.67,right
42,car,0.57,,1148,307,1199,351,,0.57,right
42,car,0.5,,1385,325,1436,363,,0.5,right
42,car,0.44,,1366,325,1400,361,,0.44,right
42,car,0.41,,1389,323,1450,370,,0.41,right
