frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate,plate_confidence,direction
93,person,0.28,,103,194,110,214,,0.28,left
94,car,0.89,,271,165,472,301,,0.89,right
94,car,0.87,,470,160,639,312,7,0.87,right
94,person,0.31,,82,190,91,217,,0.31,left
94,person,0.28,,69,194,79,216,,0.28,left
94,person,0.26,,102,194,110,214,,0.26,left
95,car,0.89,,271,165,472,301,2,0.89,right
95,car,0.87,,473,160,639,313,,0.87,right
95,person,0.32,,82,190,91,217,,0.32,left
95,person,0.29,,69,194,79,216,,0.29,left
96,car,0.89,,271,165,472,301,,0.89,right
96,car,0.88,,472,160,639,312,4,0.88,right
96,person,0.33,,82,190,91,217,,0.33,left
96,person,0.3,,70,194,79,216,,0.3,left
97,car,0.89,,271,165,472,300,,0.89,right
97,car,0.89,,473,160,639,312,4,0.89,right
97,person,0.3,,70,194,79,216,,0.3,left
97,person,0.3,,82,190,91,216,,0.3,left
98,car,0.9,,473,162,639,311,A,0.9,right
98,car,0.9,,271,165,472,300,,0.9,right
98,person,0.3,,82,190,91,217,,0.3,left
98,person,0.3,,69,194,79,216,,0.3,left
99,car,0.9,,271,165,472,300,,0.9,right
99,car,0.9,,470,164,639,312,SE,0.9,right
99,person,0.32,,82,190,91,216,,0.32,left
99,person,0.3,,69,194,79,216,,0.3,left
100,car,0.9,,271,165,472,300,,0.9,right
100,car,0.89,,473,166,639,312,AL,0.89,right
100,person,0.32,,82,190,91,216,,0.32,left
100,person,0.31,,70,194,79,216,,0.31,left
101,car,0.9,,471,165,639,311,,0.9,right
101,car,0.9,,271,165,472,300,,0.9,right
101,person,0.32,,82,190,91,216,,0.32,left
101,person,0.31,,70,194,79,216,,0.31,left
102,car,0.9,,271,165,472,300,,0.9,right
102,car,0.89,,472,164,639,312,,0.89,right
102,person,0.32,,82,190,91,216,,0.32,left
102,person,0.31,,70,194,79,216,,0.31,left
103,car,0.91,,477,159,639,314,,0.91,right
103,car,0.9,,271,165,472,301,2,0.9,right
103,person,0.32,,82,190,91,216,,0.32,left
103,person,0.31,,69,194,79,216,,0.31,left
104,car,0.91,,476,160,639,312,,0.91,right
104,car,0.91,,271,165,472,300,2,0.91,right
104,person,0.31,,83,191,90,216,,0.31,left
104,person,0.29,,70,194,79,215,,0.29,left
105,car,0.91,,473,160,639,312,,0.91,right
105,car,0.91,,271,165,471,300,,0.91,right
105,person,0.33,,82,190,91,216,,0.33,left
105,person,0.31,,70,194,79,216,,0.31,left
106,car,0.91,,271,165,471,299,,0.91,right
106,car,0.91,,474,158,639,312,C,0.91,right
106,person,0.32,,82,190,91,216,,0.32,left
106,person,0.31,,70,194,79,216,,0.31,left
107,car,0.9,,474,159,639,312,,0.9,right
107,car,0.89,,271,165,471,299,,0.89,right
107,person,0.34,,82,190,91,216,,0.34,left
107,person,0.31,,70,194,79,216,,0.31,left
108,car,0.9,,472,162,639,313,,0.9,right
108,car,0.89,,271,165,471,299,,0.89,right
108,person,0.34,,82,190,91,216,,0.34,left
108,person,0.31,,70,194,79,216,,0.31,left
109,car,0.9,,472,162,639,315,,0.9,right
109,car,0.89,,271,165,471,299,,0.89,right
109,person,0.33,,83,191,91,216,,0.33,left
109,person,0.3,,70,194,79,216,,0.3,left
110,car,0.89,,471,161,639,315,,0.89,right
110,car,0.89,,271,165,471,299,,0.89,right
110,person,0.33,,83,191,91,216,,0.33,left
110,person,0.3,,70,194,79,216,,0.3,left
111,car,0.9,,470,160,639,316,,0.9,right
111,car,0.88,,271,165,471,299,,0.88,right
111,person,0.32,,82,191,91,216,,0.32,left
111,person,0.3,,70,194,79,216,,0.3,left
112,car,0.9,,470,160,639,315,,0.9,right
112,car,0.88,,271,165,471,299,,0.88,right
112,person,0.31,,82,191,91,216,,0.31,left
112,person,0.3,,70,194,79,216,,0.3,left
113,car,0.91,,471,157,639,315,,0.91,right
113,car,0.89,,271,165,471,299,,0.89,right
113,person,0.31,,82,191,91,216,,0.31,left
113,person,0.3,,70,194,79,216,,0.3,left
114,car,0.9,,473,159,639,314,,0.9,right
114,car,0.89,,271,165,472,299,,0.89,right
114,person,0.31,,70,194,79,216,,0.31,left
114,person,0.3,,83,191,91,216,,0.3,left
115,car,0.9,,471,162,639,316,,0.9,right
115,car,0.88,,271,165,473,301,9,0.88,right
115,person,0.3,,70,194,79,216,,0.3,left
115,person,0.29,,83,191,91,215,,0.29,left
116,car,0.9,,471,163,639,315,,0.9,right
116,car,0.89,,271,165,474,301,,0.89,right
116,person,0.31,,70,194,79,216,,0.31,left
116,person,0.29,,83,191,91,215,,0.29,left
117,car,0.9,,471,163,639,316,,0.9,right
117,car,0.89,,271,165,473,301,8,0.89,right
117,person,0.31,,70,194,79,216,,0.31,left
117,person,0.29,,83,191,91,215,,0.29,left
118,car,0.9,,472,161,639,317,,0.9,right
118,car,0.88,,271,165,474,301,8,0.88,right
118,person,0.31,,70,194,79,216,,0.31,left
118,person,0.29,,83,191,91,216,,0.29,left
119,car,0.9,,471,162,639,317,,0.9,right
119,car,0.89,,271,165,475,301,4,0.89,right
119,person,0.3,,82,191,91,215,,0.3,left
119,person,0.3,,70,194,79,216,,0.3,left
120,car,0.91,,471,161,639,317,,0.91,right
120,car,0.89,,271,165,476,301,,0.89,right
120,person,0.29,,70,194,79,216,,0.29,left
120,person,0.29,,83,191,91,215,,0.29,left
121,car,0.9,,469,161,639,315,,0.9,right
121,car,0.88,,271,165,474,301,2,0.88,right
121,person,0.3,,70,194,79,216,,0.3,left
121,person,0.3,,82,191,91,216,,0.3,left
122,car,0.91,,469,162,639,315,,0.91,right
122,car,0.89,,271,166,475,300,,0.89,right
122,person,0.3,,70,194,79,216,,0.3,left
122,person,0.3,,83,191,91,215,,0.3,left
123,car,0.91,,470,160,639,316,,0.91,right
123,car,0.89,,271,166,476,300,,0.89,right
123,person,0.3,,83,191,91,216,,0.3,left
123,person,0.3,,70,194,79,216,,0.3,left
124,car,0.92,,469,161,639,317,,0.92,right
124,car,0.89,,271,166,475,301,4,0.89,right
124,person,0.31,,83,191,91,216,,0.31,left
124,person,0.31,,70,194,79,216,,0.31,left
125,car,0.91,,470,161,639,318,,0.91,right
125,car,0.89,,271,165,477,301,2,0.89,right
125,person,0.31,,83,190,91,216,,0.31,left
125,person,0.31,,70,194,79,216,,0.31,left
126,car,0.9,,468,163,639,317,,0.9,right
126,car,0.89,,271,165,477,301,,0.89,right
126,person,0.32,,83,190,91,216,,0.32,left
126,person,0.31,,70,194,79,216,,0.31,left
127,car,0.9,,467,161,639,318,,0.9,right
127,car,0.89,,271,165,473,302,,0.89,right
127,person,0.34,,82,190,91,216,,0.34,left
127,person,0.31,,70,194,79,216,,0.31,left
